Lambda,time
0.0,0.00211
0.05,0.000803
0.1,0.000792
0.15,0.001032
0.2,0.000978
0.25,0.000756
0.3,0.000803
0.35,0.001101
0.4,0.000902
0.45,0.000692
0.5,0.000816
0.55,0.001026
0.6,0.000784
0.65,0.000833
0.7,0.000739
0.75,0.000761
0.8,0.00094
0.85,0.000807
0.9,0.000781
0.95,0.000841
1.0,0.000828
1.05,0.000858
1.1,0.000908
1.15,0.00073
1.2,0.000713
1.25,0.000719
1.3,0.001161
1.35,0.000963
1.4,0.000795
1.45,0.000724
1.5,0.000727
1.55,0.000712
1.6,0.000697
1.65,0.001131
1.7,0.000898
1.75,0.000779
1.8,0.000778
1.85,0.001123
1.9,0.000897
1.95,0.000718
2.0,0.000933
2.05,0.000725
2.1,0.000777
2.15,0.000781
2.2,0.00083
2.25,0.001283
2.3,0.001229
2.35,0.001472
2.4,0.00121
2.45,0.001205
2.5,0.001112
2.55,0.000819
2.6,0.000791
2.65,0.001065
2.7,0.001103
2.75,0.001007
2.8,0.000755
2.85,0.000713
2.9,0.000757
2.95,0.000868
3.0,0.001298
