Lambda,time
0.0,31.418906
0.05,31.450405
0.1,30.582845
0.15,32.519269
0.2,32.287792
0.25,31.480195
0.3,32.513186
0.35,28.248934
0.4,27.310548
0.45,27.624425
0.5,27.095519
0.55,28.313704
0.6,28.378766
0.65,25.484279
0.7,27.938649
0.75,27.906288
0.8,27.525998
0.85,29.037611
0.9,27.982236
0.95,28.547541
1.0,30.103431
1.05,29.971031
1.1,29.813021
1.15,29.748673
1.2,30.350479
1.25,31.216941
1.3,30.129111
1.35,29.126324
1.4,29.518876
1.45,26.81439
1.5,27.233715
1.55,27.74334
1.6,26.931308
1.65,28.666813
1.7,26.523698
1.75,28.937091
1.8,29.451602
1.85,28.717764
1.9,28.458833
1.95,26.933799
2.0,29.252045
2.05,27.077551
2.1,28.02768
2.15,28.010636
2.2,28.384052
2.25,27.448764
2.3,28.546088
2.35,28.542434
2.4,28.439274
2.45,29.307004
2.5,27.833492
2.55,30.002432
2.6,27.819877
2.65,27.977244
2.7,30.885607
2.75,28.037623
2.8,29.808708
2.85,27.831189
2.9,27.576312
2.95,27.55649
3.0,28.721398
