Lambda,time
0.0,0.026972
0.05,0.027615
0.1,0.029052
0.15,0.026326
0.2,0.028416
0.25,0.032618
0.3,0.028709
0.35,0.028748
0.4,0.02772
0.45,0.026822
0.5,0.02942
0.55,0.033258
0.6,0.035326
0.65,0.035739
0.7,0.03378
0.75,0.038116
0.8,0.033227
0.85,0.038342
0.9,0.032136
0.95,0.028977
1.0,0.038868
1.05,0.033141
1.1,0.03197
1.15,0.039961
1.2,0.035131
1.25,0.038406
1.3,0.034273
1.35,0.028362
1.4,0.034828
1.45,0.031324
1.5,0.030397
1.55,0.033796
1.6,0.031356
1.65,0.043366
1.7,0.042251
1.75,0.03388
1.8,0.033453
1.85,0.03678
1.9,0.03587
1.95,0.034925
2.0,0.034854
2.05,0.035746
2.1,0.035387
2.15,0.036075
2.2,0.035692
2.25,0.038287
2.3,0.032888
2.35,0.028255
2.4,0.02885
2.45,0.035758
2.5,0.036257
2.55,0.032125
2.6,0.028631
2.65,0.029306
2.7,0.030408
2.75,0.033187
2.8,0.031224
2.85,0.036026
2.9,0.034673
2.95,0.0269
3.0,0.028191
