Lambda,time
0.0,3.241756
0.05,3.136276
0.1,3.317789
0.15,3.806154
0.2,3.811924
0.25,3.396144
0.3,3.12687
0.35,3.190228
0.4,3.366618
0.45,4.037645
0.5,4.103766
0.55,3.846598
0.6,3.175876
0.65,3.668113
0.7,2.895868
0.75,2.828443
0.8,3.726565
0.85,3.090534
0.9,3.406858
0.95,3.276399
1.0,3.864383
1.05,3.854713
1.1,3.804793
1.15,3.107759
1.2,3.641361
1.25,3.817988
1.3,3.454523
1.35,3.692992
1.4,2.902529
1.45,3.629372
1.5,3.454868
1.55,3.352451
1.6,3.650809
1.65,3.903644
1.7,3.824757
1.75,2.96921
1.8,3.385392
1.85,3.848592
1.9,3.820732
1.95,3.270852
2.0,3.189522
2.05,3.330918
2.1,3.378484
2.15,3.354653
2.2,3.319105
2.25,3.340771
2.3,3.573357
2.35,3.127867
2.4,3.181615
2.45,2.874571
2.5,3.780787
2.55,3.551548
2.6,3.263613
2.65,3.172996
2.7,3.289594
2.75,3.821627
2.8,3.730293
2.85,3.788242
2.9,3.255006
2.95,3.745331
3.0,3.73019
