Lambda,time
0.0,0.421676
0.05,0.419005
0.1,0.41657
0.15,0.404439
0.2,0.422997
0.25,0.349734
0.3,0.402792
0.35,0.421432
0.4,0.407808
0.45,0.370773
0.5,0.445138
0.55,0.34901
0.6,0.390632
0.65,0.440865
0.7,0.367218
0.75,0.375093
0.8,0.397292
0.85,0.400669
0.9,0.406963
0.95,0.422434
1.0,0.408822
1.05,0.438995
1.1,0.393482
1.15,0.392953
1.2,0.372031
1.25,0.418115
1.3,0.402972
1.35,0.39461
1.4,0.349827
1.45,0.387738
1.5,0.370942
1.55,0.428836
1.6,0.361681
1.65,0.370247
1.7,0.359354
1.75,0.378214
1.8,0.324546
1.85,0.404933
1.9,0.377536
1.95,0.390861
2.0,0.40324
2.05,0.417201
2.1,0.344191
2.15,0.40569
2.2,0.399388
2.25,0.404745
2.3,0.36021
2.35,0.429143
2.4,0.37774
2.45,0.402679
2.5,0.392854
2.55,0.409966
2.6,0.396481
2.65,0.376762
2.7,0.365283
2.75,0.38231
2.8,0.400876
2.85,0.371037
2.9,0.375479
2.95,0.358901
3.0,0.375499
