Lambda,time
0.0,7.1e-05
0.05,7e-05
0.1,0.000153
0.15,6.9e-05
0.2,7.6e-05
0.25,7.3e-05
0.3,7.3e-05
0.35,7.3e-05
0.4,7.4e-05
0.45,7.8e-05
0.5,7.6e-05
0.55,7.9e-05
0.6,7.8e-05
0.65,6.7e-05
0.7,5.3e-05
0.75,8.4e-05
0.8,7.3e-05
0.85,7.8e-05
0.9,6.6e-05
0.95,7.2e-05
1.0,7.2e-05
1.05,7.6e-05
1.1,6.9e-05
1.15,0.000128
1.2,6.6e-05
1.25,7.2e-05
1.3,6.7e-05
1.35,7e-05
1.4,6.8e-05
1.45,7.5e-05
1.5,6.8e-05
1.55,6.7e-05
1.6,6.8e-05
1.65,6.6e-05
1.7,7.4e-05
1.75,7.2e-05
1.8,7.1e-05
1.85,7e-05
1.9,6.9e-05
1.95,7.6e-05
2.0,7.2e-05
2.05,6.8e-05
2.1,6.6e-05
2.15,6.8e-05
2.2,7e-05
2.25,7e-05
2.3,6.5e-05
2.35,7.4e-05
2.4,7e-05
2.45,7.4e-05
2.5,6.9e-05
2.55,6.9e-05
2.6,6.7e-05
2.65,7e-05
2.7,6.8e-05
2.75,6.8e-05
2.8,7.6e-05
2.85,6.9e-05
2.9,7.4e-05
2.95,7.4e-05
3.0,7.9e-05
