Lambda,time
0.0,0.00019
0.05,0.000205
0.1,0.000208
0.15,0.000233
0.2,0.000203
0.25,0.000197
0.3,0.0002
0.35,0.000146
0.4,0.000203
0.45,0.000226
0.5,0.000214
0.55,0.000312
0.6,0.000148
0.65,0.00016
0.7,0.000199
0.75,0.000222
0.8,0.000237
0.85,0.000209
0.9,0.000245
0.95,0.000308
1.0,0.000207
1.05,0.000223
1.1,0.000157
1.15,0.000204
1.2,0.00015
1.25,0.000255
1.3,0.000268
1.35,0.000172
1.4,0.000183
1.45,0.000154
1.5,0.000157
1.55,0.000219
1.6,0.000214
1.65,0.000236
1.7,0.000217
1.75,0.000208
1.8,0.000155
1.85,0.000163
1.9,0.000173
1.95,0.000208
2.0,0.000151
2.05,0.000148
2.1,0.000135
2.15,0.000136
2.2,0.000152
2.25,0.000177
2.3,0.000209
2.35,0.00014
2.4,0.00014
2.45,0.000135
2.5,0.000187
2.55,0.000134
2.6,0.000141
2.65,0.000158
2.7,0.000135
2.75,0.000153
2.8,0.000156
2.85,0.000141
2.9,0.000211
2.95,0.000171
3.0,0.000213
