Lambda,time
0.0,9.1e-05
0.05,5.5e-05
0.1,5.6e-05
0.15,4.6e-05
0.2,5e-05
0.25,4.4e-05
0.3,4.8e-05
0.35,4.8e-05
0.4,4.5e-05
0.45,4.5e-05
0.5,4.2e-05
0.55,4.9e-05
0.6,4.6e-05
0.65,4.4e-05
0.7,6.2e-05
0.75,5.5e-05
0.8,4.5e-05
0.85,4.8e-05
0.9,6.7e-05
0.95,4.7e-05
1.0,8.7e-05
1.05,5.5e-05
1.1,4.8e-05
1.15,0.000105
1.2,7.1e-05
1.25,4.9e-05
1.3,6.7e-05
1.35,6.7e-05
1.4,5.8e-05
1.45,6.4e-05
1.5,0.000102
1.55,6.3e-05
1.6,8.5e-05
1.65,8e-05
1.7,6.2e-05
1.75,8e-05
1.8,7.6e-05
1.85,6.6e-05
1.9,6.6e-05
1.95,6.5e-05
2.0,7.2e-05
2.05,6.1e-05
2.1,6.7e-05
2.15,6.9e-05
2.2,6.7e-05
2.25,5.9e-05
2.3,6.1e-05
2.35,6.4e-05
2.4,6.2e-05
2.45,6.6e-05
2.5,6.3e-05
2.55,5.9e-05
2.6,7.8e-05
2.65,6.1e-05
2.7,6.5e-05
2.75,6.3e-05
2.8,5.9e-05
2.85,8.1e-05
2.9,6.1e-05
2.95,5.4e-05
3.0,6.2e-05
