Lambda,time
0.0,0.000146
0.05,0.000102
0.1,9.8e-05
0.15,0.000107
0.2,9.8e-05
0.25,0.000103
0.3,0.0001
0.35,0.000102
0.4,0.000104
0.45,0.000114
0.5,0.0001
0.55,0.00011
0.6,9.1e-05
0.65,7.9e-05
0.7,8.2e-05
0.75,7.8e-05
0.8,8e-05
0.85,8.4e-05
0.9,9.9e-05
0.95,0.0001
1.0,9.9e-05
1.05,0.000108
1.1,9.7e-05
1.15,0.000104
1.2,9.6e-05
1.25,9.6e-05
1.3,9.5e-05
1.35,0.000107
1.4,9.6e-05
1.45,0.0001
1.5,9.9e-05
1.55,9.9e-05
1.6,9.8e-05
1.65,0.000103
1.7,0.000103
1.75,0.000107
1.8,0.000109
1.85,0.000111
1.9,0.0001
1.95,9.6e-05
2.0,9.5e-05
2.05,9.8e-05
2.1,9.6e-05
2.15,0.000106
2.2,9.4e-05
2.25,9.7e-05
2.3,9.6e-05
2.35,0.000116
2.4,9.8e-05
2.45,0.000104
2.5,0.000103
2.55,0.000138
2.6,0.000153
2.65,0.000103
2.7,0.000111
2.75,0.000113
2.8,0.000113
2.85,0.000101
2.9,0.000103
2.95,9.7e-05
3.0,9.6e-05
