Lambda,eig1,eig2,eig3,eig4,eig5,eig6
1.85,-15.75884123,    -13.85975944,    -13.34556427,    -12.67789017,    -11.98413029,    -11.44648248
1.9,-16.13292935,    -14.13702662,    -13.62843205,    -12.96359679,    -12.26928746,    -11.63252931
1.95,-16.50839910,    -14.41543247,    -13.91208854,    -13.25001999,    -12.55528037,    -11.90900717
2.0,-16.88514149,    -14.69489435,    -14.19648172,    -13.53710449,    -12.84203802,    -12.19356288
2.05,-17.26305882,    -14.97533730,    -14.48156393,    -13.82480086,    -13.12949738,    -12.47896341
2.1,-17.64206326,    -15.25669319,    -14.76729141,    -14.11306473,    -13.41760231,    -12.76514083
2.15,-18.02207559,    -15.53890000,    -15.05362394,    -14.40185615,    -13.70630264,    -13.05203436
2.2,-18.40302422,    -15.82190110,    -15.34052451,    -14.69113899,    -13.99555339,    -13.33958938
2.25,-18.78484422,    -16.10564478,    -15.62795900,    -14.98088052,    -14.28531407,    -13.62775673
2.3,-19.16747660,    -16.39008365,    -15.91589591,    -15.27105095,    -14.57554817,    -13.91649200
2.35,-19.55086761,    -16.67517424,    -16.20430615,    -15.56162313,    -14.86622267,    -14.20575501
2.4,-19.93496819,    -16.96087662,    -16.49316275,    -15.85257223,    -15.15730760,    -14.49550927
2.45,-20.31973345,    -17.24715402,    -16.78244075,    -16.14387550,    -15.44877570,    -14.78572161
2.5,-20.70512224,    -17.53397254,    -17.07211698,    -16.43551204,    -15.74060215,    -15.07636179
2.55,-21.09109677,    -17.82130089,    -17.36216992,    -16.72746262,    -16.03276425,    -15.36740217
2.6,-21.47762226,    -18.10911013,    -17.65257954,    -17.01970951,    -16.32524122,    -15.65881745
2.65,-21.86466664,    -18.39737345,    -17.94332719,    -17.31223630,    -16.61801400,    -15.95058445
2.7,-22.25220031,    -18.68606602,    -18.23439548,    -17.60502784,    -16.91106507,    -16.24268184
2.75,-22.64019590,    -18.97516474,    -18.52576819,    -17.89807004,    -17.20437829,    -16.53509000
2.8,-23.02862804,    -19.26464816,    -18.81743015,    -18.19134985,    -17.49793877,    -16.82779085
2.85,-23.41747319,    -19.55449630,    -19.10936719,    -18.48485510,    -17.79173273,    -17.12076766
2.9,-23.80670952,    -19.84469053,    -19.40156601,    -18.77857447,    -18.08574746,    -17.41400500
2.95,-24.19631668,    -20.13521348,    -19.69401417,    -19.07249740,    -18.37997111,    -17.70748853
3.0,-24.58627573,    -20.42604891,    -19.98670000,    -19.36661403,    -18.67439274,    -18.00120498
