Lambda,eig1,eig2,eig3,eig4,eig5,eig6
0.0,-7.00000000,    -7.00000000,    -5.00000000,    -5.00000000,    -5.00000000,    -5.00000000
0.05,-7.00625117,    -7.00625117,    -5.09815383,    -5.09815383,    -5.07532880,    -5.07532880
0.1,-7.02501881,    -7.02501880,    -5.20772968,    -5.20772966,    -5.15960798,    -5.15960796
0.15,-7.05634580,    -7.05634530,    -5.32854966,    -5.32854916,    -5.25239065,    -5.25239015
0.2,-7.10030602,    -7.10030111,    -5.46040912,    -5.46040421,    -5.35321021,    -5.35320530
0.25,-7.15701046,    -7.15698185,    -5.60306518,    -5.60303657,    -5.46159427,    -5.46156566
0.3,-7.22662000,    -7.22650059,    -5.75622663,    -5.75610722,    -5.57709248,    -5.57697307
0.35,-7.30936761,    -7.30897241,    -5.91954716,    -5.91915195,    -5.69932243,    -5.69892723
0.4,-7.40559134,    -7.40449034,    -6.09262342,    -6.09152242,    -5.82803521,    -5.82693420
0.45,-7.51577570,    -7.51309364,    -6.27499837,    -6.27231631,    -5.96319605,    -5.96051399
0.5,-7.64059255,    -7.63473266,    -6.46616949,    -6.46030960,    -6.10506669,    -6.09920680
0.55,-7.78092203,    -7.76923682,    -6.66560069,    -6.65391548,    -6.25426297,    -6.24257776
0.6,-7.93782123,    -7.91629317,    -6.87273603,    -6.85120797,    -6.41174803,    -6.39021997
0.65,-8.11240327,    -8.07544114,    -7.08701367,    -7.05005154,    -6.57871827,    -6.54175614
0.7,-8.30561097,    -8.24608496,    -7.30787851,    -7.24835250,    -6.75636506,    -6.69683905
0.75,-8.51793153,    -8.42752086,    -7.53479276,    -7.44438209,    -6.94556174,    -6.85515107
0.8,-8.74917102,    -8.61897299,    -7.76724394,    -7.63704591,    -7.14660101,    -7.01640298
0.85,-8.99840945,    -8.81963101,    -8.00475035,    -7.82597191,    -7.35911084,    -7.18033240
0.9,-9.26415765,    -9.02868387,    -8.24686421,    -8.01139043,    -7.58217569,    -7.34670191
0.95,-9.54462146,    -9.24534643,    -8.49317304,    -8.19389801,    -7.81457214,    -7.51529711
1.0,-9.83795145,    -9.46887801,    -8.74329949,    -8.37422605,    -8.05499802,    -7.68592459
1.05,-10.14241091,    -9.69859340,    -8.99690022,    -8.55308271,    -8.30222750,    -7.85840998
1.1,-10.45645780,    -9.93386793,    -9.25366412,    -8.73107425,    -8.55518602,    -8.03259615
1.15,-10.77876614,    -10.17413815,    -9.51331004,    -8.90868205,    -8.81296941,    -8.20834142
1.2,-11.10821467,    -10.41889959,    -9.77558446,    -9.08626938,    -9.07483311,    -8.41351901
1.25,-11.44386189,    -10.66770281,    -10.04025899,    -9.34016972,    -9.26409991,    -8.67326140
1.3,-11.78491823,    -10.92014868,    -10.30712804,    -9.60848462,    -9.44235849,    -8.93680885
1.35,-12.13071999,    -11.17588331,    -10.57600651,    -9.87937376,    -9.62116983,    -9.20363901
1.4,-12.48070694,    -11.43459308,    -10.84672774,    -10.15250522,    -9.80061387,    -9.47331864
1.45,-12.83440378,    -11.69599998,    -11.11914153,    -10.42760431,    -9.98073773,    -9.74548654
1.5,-13.19140495,    -11.95985736,    -11.39311242,    -10.70444193,    -10.16156483,    -10.01983979
1.55,-13.55136252,    -12.22594609,    -11.66851810,    -10.98282538,    -10.34310167,    -10.29612279
1.6,-13.91397630,    -12.49407117,    -11.94524799,    -11.26259135,    -10.57411854,    -10.52534286
1.65,-14.27898591,    -12.76405871,    -12.22320199,    -11.54360031,    -10.85364173,    -10.70827480
1.7,-14.64616440,    -13.03575340,    -12.50228936,    -11.82573222,    -11.13453320,    -10.89187837
1.75,-15.01531298,    -13.30901618,    -12.78242769,    -12.10888308,    -11.41665548,    -11.07613089
1.8,-15.38625676,    -13.58372226,    -13.06354207,    -12.39296223,    -11.69988921,    -11.26100757
