Lambda,eig1,eig2,eig3,eig4,eig5,eig6
0.0,-6.00000000,    -6.00000000,    -4.00000000,    -4.00000000,    -4.00000000,    -4.00000000
0.05,-6.00562608,    -6.00562607,    -4.09508131,    -4.09508131,    -4.06593080,    -4.06593080
0.1,-6.02251734,    -6.02251714,    -4.19998126,    -4.19998106,    -4.13870746,    -4.13870726
0.15,-6.05071427,    -6.05071093,    -4.31445086,    -4.31444752,    -4.21784961,    -4.21784627
0.2,-6.09029060,    -6.09026602,    -4.43820195,    -4.43817737,    -4.30288795,    -4.30286337
0.25,-6.14136636,    -6.14125192,    -4.57090066,    -4.57078622,    -4.39339616,    -4.39328172
0.3,-6.20412972,    -6.20373169,    -4.71216571,    -4.71176768,    -4.48903823,    -4.48864019
0.35,-6.27886696,    -6.27773780,    -4.86157176,    -4.86044261,    -4.58962908,    -4.58849992
0.4,-6.36599651,    -6.36324396,    -5.01865718,    -5.01590462,    -4.69520151,    -4.69244895
0.45,-6.46609798,    -6.46013750,    -5.18293477,    -5.17697429,    -4.80606554,    -4.80010506
0.5,-6.57992044,    -6.56819811,    -5.35390398,    -5.34218165,    -4.92283928,    -4.91111695
0.55,-6.70834796,    -6.68708738,    -5.53106282,    -5.50980224,    -5.04642483,    -5.02516425
0.6,-6.85230025,    -6.81635175,    -5.71391860,    -5.67797010,    -5.17790502,    -5.14195652
0.65,-7.01256315,    -6.95543799,    -5.90199652,    -5.84487136,    -5.31835682,    -5.26123166
0.7,-7.18958164,    -7.10371778,    -6.09484616,    -6.00898229,    -5.46861782,    -5.38275395
0.75,-7.38328925,    -7.26051655,    -6.29204568,    -6.16927298,    -5.62908460,    -5.50631189
0.8,-7.59305178,    -7.42514194,    -6.49320416,    -6.32529432,    -5.79962585,    -5.63171601
0.85,-7.81775061,    -7.59690840,    -6.69796234,    -6.47712013,    -5.97963891,    -5.75879670
0.9,-8.05595929,    -7.77515614,    -6.90599228,    -6.62518913,    -6.16820533,    -5.88740218
0.95,-8.30613570,    -7.95926426,    -7.11699609,    -6.77012465,    -6.36426807,    -6.01739663
1.0,-8.56677223,    -8.14865838,    -7.33070426,    -6.91259040,    -6.56677223,    -6.14865838
1.05,-8.83648581,    -8.34281405,    -7.54687356,    -7.05320180,    -6.77475017,    -6.28107841
1.1,-9.11405674,    -8.54125703,    -7.76528491,    -7.19248521,    -6.98735861,    -6.41455890
1.15,-9.39843426,    -8.74356144,    -7.98574121,    -7.33086838,    -7.20388480,    -6.54901198
1.2,-9.68872448,    -8.94934664,    -8.20806516,    -7.46868732,    -7.42373642,    -6.70828456
1.25,-9.98417114,    -9.15827350,    -8.43209735,    -7.64642513,    -7.60619972,    -6.92393155
1.3,-10.28413510,    -9.37004039,    -8.65769436,    -7.87154917,    -7.74359965,    -7.14282753
1.35,-10.58807533,    -9.58437926,    -8.88472706,    -8.09877749,    -7.88103100,    -7.36453880
1.4,-10.89553221,    -9.80105184,    -9.11307912,    -8.32783615,    -8.01859876,    -7.58870236
1.45,-11.20611368,    -10.01984627,    -9.34264559,    -8.55849732,    -8.15637818,    -7.81501316
1.5,-11.51948366,    -10.24057389,    -9.57333168,    -8.79057024,    -8.29442191,    -8.04321358
1.55,-11.83535266,    -10.46306655,    -9.80505166,    -9.02389424,    -8.43276556,    -8.27308496
1.6,-12.15347008,    -10.68717406,    -10.03772790,    -9.25833300,    -8.57143188,    -8.50444076
1.65,-12.47361796,    -10.91276208,    -10.27128996,    -9.49377017,    -8.73712098,    -8.71043407
1.7,-12.79560584,    -11.13971016,    -10.50567386,    -9.73010576,    -8.97098771,    -8.84977818
1.75,-13.11926656,    -11.36791017,    -10.74082139,    -9.96725337,    -9.20592152,    -8.98946500
1.8,-13.44445279,    -11.59726476,    -10.97667951,    -10.20513785,    -9.44181849,    -9.12949148
1.85,-13.77103418,    -11.82768616,    -11.21319979,    -10.44369355,    -9.67858778,    -9.26985178
1.9,-14.09889494,    -12.05909506,    -11.45033798,    -10.68286277,    -9.91614966,    -9.41053810
1.95,-14.42793189,    -12.29141963,    -11.68805356,    -10.92259458,    -10.15443390,    -9.55154129
2.0,-14.75805274,    -12.52459472,    -11.92630937,    -11.16284381,    -10.39337833,    -9.71730827
2.05,-15.08917471,    -12.75856109,    -12.16507130,    -11.40357024,    -10.63292779,    -9.95411588
2.1,-15.42122329,    -12.99326480,    -12.40430796,    -11.64473792,    -10.87303313,    -10.19162459
2.15,-15.75413127,    -13.22865663,    -12.64399047,    -11.88631459,    -11.11365043,    -10.42978007
2.2,-16.08783785,    -13.46469157,    -12.88409218,    -12.12827119,    -11.35474029,    -10.66853346
2.25,-16.42228784,    -13.70132841,    -13.12458848,    -12.37058148,    -11.59626732,    -10.90784067
2.3,-16.75743111,    -13.93852936,    -13.36545660,    -12.61322168,    -11.83819958,    -11.14766185
2.35,-17.09322192,    -14.17625968,    -13.60667549,    -12.85617020,    -12.08050822,    -11.38796087
2.4,-17.42961855,    -14.41448740,    -13.84822558,    -13.09940733,    -12.32316707,    -11.62870490
2.45,-17.76658276,    -14.65318305,    -14.09008876,    -13.34291511,    -12.56615237,    -11.86986406
2.5,-18.10407953,    -14.89231942,    -14.33224816,    -13.58667707,    -12.80944246,    -12.11141105
2.55,-18.44207665,    -15.13187138,    -14.57468809,    -13.83067810,    -13.05301760,    -12.35332095
