Lambda,eig1,eig2,eig3,eig4,eig5,eig6
0.0,-10.00000000,    -10.00000000,    -8.00000000,    -8.00000000,    -8.00000000,    -8.00000000
0.05,-10.00812647,    -10.00812647,    -8.10382727,    -8.10382727,    -8.09134361,    -8.09134361
0.1,-10.03252350,    -10.03252350,    -8.22336535,    -8.22336535,    -8.19694622,    -8.19694622
0.15,-10.07324442,    -10.07324442,    -8.35855511,    -8.35855511,    -8.31652654,    -8.31652654
0.2,-10.13037935,    -10.13037931,    -8.50934349,    -8.50934345,    -8.44977636,    -8.44977632
0.25,-10.20405742,    -10.20405697,    -8.67567501,    -8.67567457,    -8.59635223,    -8.59635179
0.3,-10.29445046,    -10.29444724,    -8.85748055,    -8.85747732,    -8.75586942,    -8.75586619
0.35,-10.40177963,    -10.40176269,    -9.05466267,    -9.05464573,    -8.92790143,    -8.92788449
0.4,-10.52632806,    -10.52625759,    -9.26707806,    -9.26700759,    -9.11199156,    -9.11192110
0.45,-10.66846429,    -10.66821989,    -9.49451801,    -9.49427361,    -9.30768597,    -9.30744157
0.5,-10.82868327,    -10.82795085,    -9.73668988,    -9.73595746,    -9.51460058,    -9.51386816
0.55,-11.00767063,    -11.00572719,    -9.99320268,    -9.99125925,    -9.73253230,    -9.73058886
0.6,-11.20638801,    -11.20174380,    -10.26356022,    -10.25891601,    -9.96161307,    -9.95696886
0.65,-11.42615444,    -11.41604269,    -10.54716387,    -10.53705212,    -10.20247483,    -10.19236308
0.7,-11.66865231,    -11.64844299,    -10.84332514,    -10.82311582,    -10.45633784,    -10.43612852
0.75,-11.93573414,    -11.89849241,    -11.15128610,    -11.11404436,    -10.72487715,    -10.68763542
0.8,-12.22893114,    -12.16545772,    -11.47024436,    -11.40677094,    -11.00974992,    -10.94627650
0.85,-12.54878364,    -12.44835888,    -11.79937898,    -11.69895422,    -11.31189870,    -11.21147394
0.9,-12.89440842,    -12.74603667,    -12.13787410,    -11.98950235,    -11.63105597,    -11.48268421
0.95,-13.26364571,    -13.05723424,    -12.48493841,    -12.27852694,    -11.96581229,    -11.75940082
1.0,-13.65364354,    -13.38067389,    -12.83981949,    -12.56684984,    -12.31412509,    -12.04115544
1.05,-14.06145531,    -13.71511706,    -13.20181324,    -12.85547499,    -12.67385593,    -12.32751769
1.1,-14.48439983,    -14.05940403,    -13.57026899,    -13.14527319,    -13.04308976,    -12.61809396
1.15,-14.92019082,    -14.41247533,    -13.94459120,    -13.43687571,    -13.42024110,    -12.91252561
1.2,-15.36693524,    -14.77337939,    -14.32423872,    -13.80404260,    -13.73068287,    -13.28346646
1.25,-15.82308094,    -15.14127106,    -14.70872240,    -14.19349165,    -14.02691252,    -13.67109792
1.3,-16.28735463,    -15.51540498,    -15.09760173,    -14.58779253,    -14.32565207,    -14.06437824
1.35,-16.75870615,    -15.89512634,    -15.49048088,    -14.98630744,    -14.62690108,    -14.46250583
1.4,-17.23626280,    -16.27986087,    -15.88700473,    -15.38851855,    -14.93060281,    -14.86482944
1.45,-17.71929351,    -16.66910501,    -16.28685482,    -15.79399966,    -15.27081490,    -15.23666632
1.5,-18.20718092,    -17.06241679,    -16.68974555,    -16.20239544,    -15.68001983,    -15.54498142
1.55,-18.69939972,    -17.45940767,    -17.09542066,    -16.61340605,    -16.09207439,    -15.85542861
1.6,-19.19549979,    -17.85973533,    -17.50365004,    -17.02677569,    -16.50666668,    -16.16788558
1.65,-19.69509287,    -18.26309747,    -17.91422676,    -17.44228407,    -16.92353143,    -16.48223136
1.7,-20.19784210,    -18.66922638,    -18.32696454,    -17.85973985,    -17.34244136,    -16.82313616
1.75,-20.70345357,    -19.07788436,    -18.74169541,    -18.27897559,    -17.76320028,    -17.24306189
1.8,-21.21166956,    -19.48885979,    -19.15826764,    -18.69984383,    -18.18563781,    -17.66482440
1.85,-21.72226300,    -19.90196369,    -19.57654398,    -19.12221391,    -18.60960504,    -18.08825362
1.9,-22.23503298,    -20.31702692,    -19.99640006,    -19.54596951,    -19.03497116,    -18.51320045
1.95,-22.74980102,    -20.73389763,    -20.41772293,    -19.97100656,    -19.46162061,    -18.93953357
2.0,-23.26640793,    -21.15243917,    -20.84040992,    -20.39723156,    -19.88945090,    -19.36713680
2.05,-23.78471130,    -21.57252825,    -21.26436745,    -20.82456026,    -20.31837067,    -19.79590695
2.1,-24.30458325,    -21.99405338,    -21.68951015,    -21.25291639,    -20.74829820,    -20.22575202
2.15,-24.82590861,    -22.41691347,    -22.11575997,    -21.68223077,    -21.17916007,    -20.65658969
2.2,-25.34858339,    -22.84101669,    -22.54304543,    -22.11244044,    -21.61089017,    -21.08834605
2.25,-25.87251339,    -23.26627945,    -22.97130099,    -22.54348795,    -22.04342868,    -21.52095456
2.3,-26.39761310,    -23.69262543,    -23.40046642,    -22.97532074,    -22.47672140,    -21.95435509
2.35,-26.92380468,    -24.11998491,    -23.83048633,    -23.40789065,    -22.91071902,    -22.38849319
2.4,-27.45101712,    -24.54829398,    -24.26130966,    -23.84115342,    -23.34537658,    -22.82331942
2.45,-27.97918552,    -24.97749403,    -24.69288929,    -24.27506832,    -23.78065300,    -23.25878874
2.5,-28.50825039,    -25.40753115,    -25.12518167,    -24.70959778,    -24.21651064,    -23.69486006
2.55,-29.03815714,    -25.83835570,    -25.55814652,    -25.14470709,    -24.65291492,    -24.13149581
2.6,-29.56885557,    -26.26992191,    -25.99174648,    -25.58036413,    -25.08983406,    -24.56866153
2.65,-30.10029940,    -26.70218745,    -26.42594690,    -26.01653913,    -25.52723874,    -25.00632558
2.7,-30.63244595,    -27.13511321,    -26.86071558,    -26.45320445,    -25.96510187,    -25.44445884
2.75,-31.16525575,    -27.56866289,    -27.29602257,    -26.89033441,    -26.40339841,    -25.88303445
2.8,-31.69869223,    -28.00280285,    -27.73183996,    -27.32790507,    -26.84210512,    -26.32202762
2.85,-32.23272152,    -28.43750181,    -28.16814173,    -27.76589414,    -27.28120047,    -26.76141541
2.9,-32.76731213,    -28.87273065,    -28.60490359,    -28.20428082,    -27.72066440,    -27.20117655
2.95,-33.30243481,    -29.30846226,    -29.04210284,    -28.64304565,    -28.16047826,    -27.64129130
3.0,-33.83806228,    -29.74467136,    -29.47971823,    -29.08217043,    -28.60062465,    -28.08174133
