Lambda,eig1,eig2,eig3,eig4,eig5,eig6
0.0,-2.00000000,    -2.00000000,    -.00000000,    -.00000000,    .00000000,    .00000000
0.05,-2.00325035,    -2.00300098,    -.05000000,    -.04975062,    .04975062,    .05000000
0.1,-2.01349965,    -2.01151964,    -.10000000,    -.09801999,    .09801999,    .10000000
0.15,-2.03146512,    -2.02486677,    -.15000000,    -.14340166,    .14340166,    .15000000
0.2,-2.05777787,    -2.04241508,    -.20000000,    -.18463721,    .18463721,    .20000000
0.25,-2.09292308,    -2.06360650,    -.25000000,    -.22068342,    .22068342,    .25000000
0.3,-2.13718764,    -2.08795257,    -.30000000,    -.25076493,    .25076493,    .30000000
0.35,-2.19062764,    -2.11503041,    -.35000000,    -.27440277,    .27440277,    .35000000
0.4,-2.25306438,    -2.14447659,    -.40000000,    -.29141221,    .29141221,    .40000000
0.45,-2.32410945,    -2.17598009,    -.45000000,    -.30187064,    .30187064,    .45000000
0.5,-2.40321193,    -2.20927536,    -.50000000,    -.30606343,    .30606343,    .50000000
0.55,-2.48971547,    -2.24413573,    -.55000000,    -.30442026,    .30442026,    .55000000
0.6,-2.58291400,    -2.28036764,    -.60000000,    -.29745364,    .29745364,    .60000000
0.65,-2.68209782,    -2.31780551,    -.65000000,    -.28570769,    .28570769,    .65000000
0.7,-2.78658685,    -2.35630740,    -.70000000,    -.26972055,    .26972055,    .70000000
0.75,-2.89575131,    -2.39575131,    -.75000000,    -.25000000,    .25000000,    .75000000
0.8,-3.00902212,    -2.43603209,    -.80000000,    -.22700997,    .22700997,    .80000000
0.85,-3.12589384,    -2.47705881,    -.85000000,    -.20116497,    .20116497,    .85000000
0.9,-3.24592286,    -2.51875260,    -.90000000,    -.17282973,    .17282973,    .90000000
0.95,-3.36872291,    -2.56104480,    -.95000000,    -.14232189,    .14232189,    .95000000
1.0,-3.49395921,    -2.60387547,    -1.00000000,    -.10991626,    .10991626,    1.00000000
1.05,-3.62134239,    -2.64719212,    -1.05000000,    -.07584973,    .07584973,    1.05000000
1.1,-3.75062255,    -2.69094859,    -1.10000000,    -.04032605,    .04032605,    1.10000000
1.15,-3.88158377,    -2.73510422,    -1.15000000,    -.00352045,    .00352045,    1.15000000
1.2,-4.01403928,    -2.77962302,    -1.20000000,    -.03441626,    .03441626,    1.20000000
1.25,-4.14782724,    -2.82447311,    -1.25000000,    -.07335414,    .07335414,    1.25000000
1.3,-4.28280704,    -2.86962610,    -1.30000000,    -.11318094,    .11318094,    1.30000000
1.35,-4.41885621,    -2.91505668,    -1.35000000,    -.15379953,    .15379953,    1.35000000
1.4,-4.55586780,    -2.96074224,    -1.40000000,    -.19512556,    .19512556,    1.40000000
1.45,-4.69374810,    -3.00666246,    -1.45000000,    -.23708564,    .23708564,    1.45000000
1.5,-4.83241479,    -3.05279911,    -1.50000000,    -.27961568,    .27961568,    1.50000000
1.55,-4.97179529,    -3.09913574,    -1.55000000,    -.32265955,    .32265955,    1.55000000
1.6,-5.11182548,    -3.14565752,    -1.60000000,    -.36616796,    .36616796,    1.60000000
1.65,-5.25244849,    -3.19235100,    -1.65000000,    -.41009749,    .41009749,    1.65000000
1.7,-5.39361375,    -3.23920398,    -1.70000000,    -.45440977,    .45440977,    1.70000000
1.75,-5.53527619,    -3.28620539,    -1.75000000,    -.49907080,    .49907080,    1.75000000
1.8,-5.67739549,    -3.33334512,    -1.80000000,    -.54405036,    .54405036,    1.80000000
1.85,-5.81993551,    -3.38061397,    -1.85000000,    -.58932154,    .58932154,    1.85000000
1.9,-5.96286378,    -3.42800349,    -1.90000000,    -.63486029,    .63486029,    1.90000000
1.95,-6.10615103,    -3.47550599,    -1.95000000,    -.68064505,    .68064505,    1.95000000
2.0,-6.24977084,    -3.52311436,    -2.00000000,    -.72665648,    .72665648,    2.00000000
2.05,-6.39369927,    -3.57082211,    -2.05000000,    -.77287716,    .77287716,    2.05000000
2.1,-6.53791461,    -3.61862324,    -2.10000000,    -.81929138,    .81929138,    2.10000000
2.15,-6.68239714,    -3.66651222,    -2.15000000,    -.86588492,    .86588492,    2.15000000
2.2,-6.82712885,    -3.71448394,    -2.20000000,    -.91264491,    .91264491,    2.20000000
2.25,-6.97209334,    -3.76253369,    -2.25000000,    -.95955965,    .95955965,    2.25000000
2.3,-7.11727558,    -3.81065709,    -2.30000000,    -1.00661849,    1.00661849,    2.30000000
2.35,-7.26266182,    -3.85885010,    -2.35000000,    -1.05381172,    1.05381172,    2.35000000
2.4,-7.40823943,    -3.90710894,    -2.40000000,    -1.10113048,    1.10113048,    2.40000000
2.45,-7.55399677,    -3.95543011,    -2.45000000,    -1.14856666,    1.14856666,    2.45000000
2.5,-7.69992316,    -4.00381036,    -2.50000000,    -1.19611280,    1.19611280,    2.50000000
2.55,-7.84600873,    -4.05224665,    -2.55000000,    -1.24376208,    1.24376208,    2.55000000
2.6,-7.99224435,    -4.10073614,    -2.60000000,    -1.29150821,    1.29150821,    2.60000000
2.65,-8.13862157,    -4.14927618,    -2.65000000,    -1.33934539,    1.33934539,    2.65000000
2.7,-8.28513259,    -4.19786430,    -2.70000000,    -1.38726829,    1.38726829,    2.70000000
2.75,-8.43177014,    -4.24649818,    -2.75000000,    -1.43527195,    1.43527195,    2.75000000
2.8,-8.57852747,    -4.29517565,    -2.80000000,    -1.48335182,    1.48335182,    2.80000000
2.85,-8.72539832,    -4.34389466,    -2.85000000,    -1.53150366,    1.53150366,    2.85000000
2.9,-8.87237683,    -4.39265330,    -2.90000000,    -1.57972353,    1.57972353,    2.90000000
2.95,-9.01945755,    -4.44144978,    -2.95000000,    -1.62800778,    1.62800778,    2.95000000
3.0,-9.16663540,    -4.49028239,    -3.00000000,    -1.67635301,    1.67635301,    3.00000000
