Lambda,eig1,eig2,eig3,eig4,eig5,eig6
0.0,-4.00000000,    -4.00000000,    -2.00000000,    -2.00000000,    -2.00000000,    -2.00000000
0.05,-4.00437619,    -4.00437557,    -2.08399835,    -2.08399772,    -2.03204748,    -2.03204686
0.1,-4.01752401,    -4.01750421,    -2.17390025,    -2.17388045,    -2.06617013,    -2.06615033
0.15,-4.03952091,    -4.03937245,    -2.26925148,    -2.26910302,    -2.10215371,    -2.10200525
0.2,-4.07053483,    -4.06992043,    -2.36958789,    -2.36897349,    -2.13997282,    -2.13935842
0.25,-4.11084914,    -4.10901808,    -2.47445218,    -2.47262112,    -2.17983039,    -2.17799932
0.3,-4.16087419,    -4.15645148,    -2.58340625,    -2.57898354,    -2.22217508,    -2.21775236
0.35,-4.22113911,    -4.21192043,    -2.69603944,    -2.68682077,    -2.26768917,    -2.25847049
0.4,-4.29225654,    -4.27504604,    -2.81197311,    -2.79476262,    -2.31724057,    -2.30003007
0.45,-4.37485623,    -4.34538593,    -2.93086262,    -2.90139232,    -2.37179697,    -2.34232667
0.5,-4.46949034,    -4.42245365,    -3.05239723,    -3.00536053,    -2.43230838,    -2.38527168
0.55,-4.57652635,    -4.50573912,    -3.17629875,    -3.10551152,    -2.49957678,    -2.42878955
0.6,-4.69605446,    -4.59472738,    -3.30231937,    -3.20099230,    -2.57414269,    -2.47281562
0.65,-4.82783880,    -4.68891406,    -3.43023913,    -3.29131438,    -2.65621900,    -2.51729425
0.7,-4.97132812,    -4.78781698,    -3.55986319,    -3.37635206,    -2.74568853,    -2.56217740
0.75,-5.12571940,    -4.89098398,    -3.69101916,    -3.45628375,    -2.84215881,    -2.60742339
0.8,-5.29005054,    -4.99799727,    -3.82355458,    -3.53150131,    -2.94504919,    -2.65299593
0.85,-5.46329429,    -5.10847530,    -3.95733457,    -3.60251559,    -3.05368226,    -2.69886328
0.9,-5.64443428,    -5.22207264,    -4.09223973,    -3.66987809,    -3.16735923,    -2.74499759
0.95,-5.83251596,    -5.33847855,    -4.22816423,    -3.73412682,    -3.28541176,    -2.79137436
1.0,-6.02667418,    -5.45741483,    -4.36501413,    -3.79575478,    -3.40723125,    -2.83797189
1.05,-6.22614326,    -5.57863315,    -4.50270595,    -3.85519584,    -3.53228112,    -2.88477100
1.1,-6.43025587,    -5.70191229,    -4.64116534,    -3.91282175,    -3.66009816,    -2.93175458
1.15,-6.63843576,    -5.82705540,    -4.78032595,    -3.96894559,    -3.79028775,    -3.00810981
1.2,-6.85018777,    -5.95388735,    -4.92012848,    -4.02382806,    -3.92251624,    -3.13005929
1.25,-7.06508727,    -6.08225229,    -5.06051982,    -4.07768484,    -4.05650262,    -3.25456745
1.3,-7.28277002,    -6.21201140,    -5.20145231,    -4.19201043,    -4.13069369,    -3.38131772
1.35,-7.50292311,    -6.34304096,    -5.34288306,    -4.32884061,    -4.18300091,    -3.51004005
