Lambda,eig1,eig2,eig3,eig4,eig5,eig6
1.4,-7.72527702,    -6.47523048,    -5.48477345,    -4.46682512,    -4.23472691,    -3.64050357
1.45,-7.94959890,    -6.60848121,    -5.62708860,    -4.60582179,    -4.28597090,    -3.77251030
1.5,-8.17568688,    -6.74270467,    -5.76979694,    -4.74570982,    -4.33681473,    -3.90588994
1.55,-8.40336529,    -6.87782150,    -5.91286989,    -4.88638621,    -4.38732609,    -4.04049541
1.6,-8.63248072,    -7.01376036,    -6.05628145,    -5.02776276,    -4.43756109,    -4.17619927
1.65,-8.86289866,    -7.15045701,    -6.20000800,    -5.16976362,    -4.48756636,    -4.31289066
1.7,-9.09450076,    -7.28785349,    -6.34402799,    -5.31232330,    -4.53738072,    -4.45047277
1.75,-9.32718251,    -7.42589738,    -6.48832175,    -5.45538500,    -4.58886076,    -4.58703662
1.8,-9.56085133,    -7.56454123,    -6.63287130,    -5.59889928,    -4.72798003,    -4.63656120
1.85,-9.79542488,    -7.70374199,    -6.77766014,    -5.74282291,    -4.86776474,    -4.68597725
1.9,-10.03082972,    -7.84346049,    -6.92267316,    -5.88711795,    -5.00815657,    -4.73530392
1.95,-10.26700018,    -7.98366109,    -7.06789644,    -6.03175100,    -5.14910374,    -4.78455735
2.0,-10.50387730,    -8.12431125,    -7.21331719,    -6.17669253,    -5.29056010,    -4.83375115
2.05,-10.74140804,    -8.26538125,    -7.35892362,    -6.32191633,    -5.43248442,    -4.88289683
2.1,-10.97954456,    -8.40684388,    -7.50470482,    -6.46739911,    -5.57483974,    -4.98484613
2.15,-11.21824357,    -8.54867417,    -7.65065072,    -6.61312005,    -5.71759284,    -5.12469292
2.2,-11.45746582,    -8.69084920,    -7.79675201,    -6.75906052,    -5.86071381,    -5.26502193
2.25,-11.69717565,    -8.83334788,    -7.94300004,    -6.90520379,    -6.00417561,    -5.40579963
2.3,-11.93734056,    -8.97615079,    -8.08938677,    -7.05153481,    -6.14795379,    -5.54699553
2.35,-12.17793090,    -9.11923999,    -8.23590477,    -7.19803997,    -6.29202614,    -5.68858185
2.4,-12.41891954,    -9.26259894,    -8.38254708,    -7.34470695,    -6.43637246,    -5.83053319
2.45,-12.66028161,    -9.40621228,    -8.52930724,    -7.49152460,    -6.58097437,    -5.97282633
2.5,-12.90199428,    -9.55006584,    -8.67617923,    -7.63848277,    -6.72581505,    -6.11543996
2.55,-13.14403655,    -9.69414642,    -8.82315740,    -7.78557218,    -6.87087914,    -6.25835450
2.6,-13.38638907,    -9.83844179,    -8.97023651,    -7.93278439,    -7.01615255,    -6.40155195
2.65,-13.62903397,    -9.98294057,    -9.11741163,    -8.08011167,    -7.16162234,    -6.54501570
2.7,-13.87195475,    -10.12763215,    -9.26467814,    -8.22754692,    -7.30727661,    -6.68873043
2.75,-14.11513612,    -10.27250665,    -9.41203173,    -8.37508362,    -7.45310439,    -6.83268197
2.8,-14.35856389,    -10.41755484,    -9.55946832,    -8.52271577,    -7.59909557,    -6.97685717
2.85,-14.60222491,    -10.56276810,    -9.70698412,    -8.67043785,    -7.74524079,    -7.12124387
2.9,-14.84610694,    -10.70813837,    -9.85457553,    -8.81824474,    -7.89153141,    -7.26583077
2.95,-15.09019858,    -10.85365809,    -10.00223919,    -8.96613173,    -8.03795939,    -7.41060733
3.0,-15.33448920,    -10.99932019,    -10.14997191,    -9.11409444,    -8.18451729,    -7.55556378
