Lambda,eig1,eig2,eig3,eig4,eig5,eig6
0.0,-5.00000000,    -5.00000000,    -3.00000000,    -3.00000000,    -3.00000000,    -3.00000000
0.05,-5.00500099,    -5.00500096,    -3.09072031,    -3.09072028,    -3.05241861,    -3.05241858
0.1,-5.02001666,    -5.02001468,    -3.18946720,    -3.18946522,    -3.10935721,    -3.10935523
0.15,-5.04509078,    -5.04506851,    -3.29589530,    -3.29587303,    -3.17037314,    -3.17035087
0.2,-5.08031449,    -5.08019161,    -3.40961738,    -3.40949450,    -3.23510132,    -3.23497844
0.25,-5.12585091,    -5.12539315,    -3.53021042,    -3.52975265,    -3.30330497,    -3.30284720
0.3,-5.18196378,    -5.18063700,    -3.65722566,    -3.65589887,    -3.37493092,    -3.37360414
0.35,-5.24904387,    -5.24581766,    -3.79020068,    -3.78697447,    -3.45015942,    -3.44693321
0.4,-5.32762382,    -5.32074198,    -3.92867138,    -3.92178954,    -3.52943528,    -3.52255343
0.45,-5.41836886,    -5.40512016,    -4.07218264,    -4.05893394,    -3.61346481,    -3.60021611
0.5,-5.52202957,    -5.49856769,    -4.22029687,    -4.19683498,    -3.70316372,    -3.67970184
0.55,-5.63934746,    -5.60061718,    -4.37260024,    -4.33386996,    -3.79954764,    -3.76081735
0.6,-5.77091916,    -5.71073765,    -4.52870666,    -4.46852516,    -3.90357411,    -3.84339260
0.65,-5.91704904,    -5.82835728,    -4.68825984,    -4.59956808,    -4.01596968,    -3.92727792
0.7,-6.07763908,    -5.95288630,    -4.85093382,    -4.72618104,    -4.13709430,    -4.01234152
0.75,-6.25215945,    -6.08373729,    -5.01643241,    -4.84801025,    -4.26688941,    -4.09846725
0.8,-6.43970973,    -6.22034122,    -5.18448786,    -4.96511935,    -4.40492107,    -4.18555256
0.85,-6.63914169,    -6.36215906,    -5.35485900,    -5.07787636,    -4.55048945,    -4.27350681
0.9,-6.84919631,    -6.50868895,    -5.52732923,    -5.18682187,    -4.70275705,    -4.36224969
0.95,-7.06861791,    -6.65946998,    -5.70170431,    -5.29255638,    -4.86085785,    -4.45170992
1.0,-7.29622981,    -6.81408309,    -5.87781026,    -5.39566354,    -5.02397082,    -4.54182410
1.05,-7.53097354,    -6.97215019,    -6.05549129,    -5.49666793,    -5.19135910,    -4.63253574
1.1,-7.77192144,    -7.13333199,    -6.23460786,    -5.59601841,    -5.36238381,    -4.72379436
1.15,-8.01827321,    -7.29732520,    -6.41503498,    -5.69408696,    -5.53650279,    -4.81555478
1.2,-8.26934435,    -7.46385931,    -6.59666055,    -5.79117550,    -5.71326151,    -4.94767991
1.25,-8.52455162,    -7.63269338,    -6.77938395,    -5.89228122,    -5.88752570,    -5.11825385
1.3,-8.78339840,    -7.80361293,    -6.96311476,    -6.07324695,    -5.98332929,    -5.29155614
1.35,-9.04546116,    -7.97642700,    -7.14777159,    -6.25589648,    -6.07873743,    -5.46723762
1.4,-9.31037768,    -8.15096541,    -7.33328111,    -6.44001096,    -6.17386885,    -5.64500304
1.45,-9.57783708,    -8.32707642,    -7.51957710,    -6.62540696,    -6.26881643,    -5.82460198
1.5,-9.84757147,    -8.50462447,    -7.70659970,    -6.81193003,    -6.36365270,    -6.00582112
1.55,-10.11934899,    -8.68348833,    -7.89429470,    -6.99944948,    -6.45843404,    -6.18847802
1.6,-10.39296812,    -8.86355935,    -8.08261293,    -7.18785411,    -6.55320416,    -6.37241597
1.65,-10.66825296,    -9.04474002,    -8.27150970,    -7.37704881,    -6.64799676,    -6.55749974
1.7,-10.94504934,    -9.22694264,    -8.46094435,    -7.56695180,    -6.74361213,    -6.74283765
1.75,-11.22322159,    -9.41008818,    -8.65087982,    -7.75749240,    -6.93065118,    -6.83774640
1.8,-11.50264985,    -9.59410530,    -8.84128224,    -7.94860923,    -7.11852776,    -6.93273769
1.85,-11.78322786,    -9.77892948,    -9.03212067,    -8.14024872,    -7.30716370,    -7.02782229
1.9,-12.06486107,    -9.96450223,    -9.22336674,    -8.33236391,    -7.49649016,    -7.12300791
1.95,-12.34746507,    -10.15077044,    -9.41499445,    -8.52491344,    -7.68644630,    -7.21829983
2.0,-12.63096428,    -10.33768580,    -9.60697989,    -8.71786075,    -7.87697819,    -7.31370142
2.05,-12.91529080,    -10.52520429,    -9.79930107,    -8.91117340,    -8.06803781,    -7.40921456
2.1,-13.20038348,    -10.71328571,    -9.99193771,    -9.10482248,    -8.25958232,    -7.58265877
2.15,-13.48618707,    -10.90189328,    -10.18487112,    -9.29878213,    -8.45157338,    -7.77169874
2.2,-13.77265156,    -11.09099333,    -10.37808402,    -9.49302918,    -8.64397655,    -7.96128062
2.25,-14.05973153,    -11.28055494,    -10.57156041,    -9.68754276,    -8.83676085,    -8.15136536
2.3,-14.34738566,    -11.47054970,    -10.76528548,    -9.88230404,    -9.02989830,    -8.34191759
2.35,-14.63557628,    -11.66095145,    -10.95924548,    -10.07729598,    -9.22336358,    -8.53290512
2.4,-14.92426893,    -11.85173607,    -11.15342764,    -10.27250311,    -9.41713376,    -8.72429868
2.45,-15.21343210,    -12.04288129,    -11.34782010,    -10.46791136,    -9.61118796,    -8.91607154
2.5,-15.50303683,    -12.23436651,    -11.54241181,    -10.66350789,    -9.80550717,    -9.10819926
2.55,-15.79305654,    -12.42617266,    -11.73719244,    -10.85928097,    -10.00007405,    -9.30065946
2.6,-16.08346673,    -12.61828205,    -11.93215241,    -11.05521983,    -10.19487272,    -9.49343158
2.65,-16.37424481,    -12.81067827,    -12.12728271,    -11.25131461,    -10.38988865,    -9.68649673
2.7,-16.66536990,    -13.00334605,    -12.32257496,    -11.44755623,    -10.58510846,    -9.87983751
2.75,-16.95682268,    -13.19627118,    -12.51802128,    -11.64393631,    -10.78051989,    -10.07343786
2.8,-17.24858524,    -13.38944042,    -12.71361432,    -11.84044712,    -10.97611162,    -10.26728294
