Lambda,eig1,eig2,eig3,eig4,eig5,eig6
0.0,-3.00000000,    -3.00000000,    -1.00000000,    -1.00000000,    -1.00000000,    -1.00000000
0.05,-3.00375702,    -3.00374455,    -1.07249248,    -1.07248001,    -1.00001247,    -1.00000000
0.1,-3.01511152,    -3.01491352,    -1.14820280,    -1.14800480,    -1.00019800,    -1.00000000
0.15,-3.03430820,    -3.03331848,    -1.22666977,    -1.22568005,    -1.00098972,    -1.00000000
0.2,-3.06173480,    -3.05866277,    -1.30750194,    -1.30442991,    -1.00307203,    -1.00000000
0.25,-3.09788888,    -3.09056425,    -1.39036853,    -1.38304390,    -1.00732463,    -1.00000000
0.3,-3.14332680,    -3.12858136,    -1.47499049,    -1.46024506,    -1.01474544,    -1.00000000
0.35,-3.19859506,    -3.17223896,    -1.56113248,    -1.53477638,    -1.02635610,    -1.00000000
0.4,-3.26414983,    -3.22105113,    -1.64859572,    -1.60549701,    -1.04309870,    -1.00000000
0.45,-3.34027755,    -3.27453950,    -1.73721196,    -1.67147390,    -1.06573805,    -1.00000000
0.5,-3.42703409,    -3.33224650,    -1.82683840,    -1.73205081,    -1.09478759,    -1.00000000
0.55,-3.52421829,    -3.39374410,    -1.91735342,    -1.78687923,    -1.13047419,    -1.00000000
0.6,-3.63138581,    -3.45863854,    -2.00865310,    -1.83590583,    -1.17274727,    -1.00000000
0.65,-3.74789700,    -3.52657223,    -2.10064829,    -1.87932352,    -1.22132476,    -1.00000000
0.7,-3.87298335,    -3.59722348,    -2.19326222,    -1.91750236,    -1.27575986,    -1.00000000
0.75,-4.00581557,    -3.67030489,    -2.28642857,    -1.95091789,    -1.33551068,    -1.00000000
0.8,-4.14556091,    -3.74556091,    -2.38008979,    -1.98008979,    -1.40000000,    -1.00000000
0.85,-4.29142428,    -3.82276512,    -2.47419576,    -2.00553660,    -1.46865916,    -1.00000000
0.9,-4.44267309,    -3.90171721,    -2.56870269,    -2.02774682,    -1.54095587,    -1.00000000
0.95,-4.59864900,    -3.98224022,    -2.66357220,    -2.04716341,    -1.61640878,    -1.00000000
1.0,-4.75877048,    -4.06417777,    -2.75877048,    -2.06417777,    -1.69459271,    -1.00000000
1.05,-4.92252960,    -4.14739168,    -2.85426772,    -2.07912980,    -1.77513792,    -1.06826188
1.1,-5.08948581,    -4.23175967,    -2.95003749,    -2.09231135,    -1.85772614,    -1.13944832
1.15,-5.25925856,    -4.31717345,    -3.04605633,    -2.10397122,    -1.94208511,    -1.21320223
1.2,-5.43151958,    -4.40353694,    -3.14230334,    -2.11432070,    -2.02798264,    -1.28921624
1.25,-5.60598575,    -4.49076477,    -3.23875983,    -2.12353885,    -2.11522098,    -1.36722592
1.3,-5.78241258,    -4.57878091,    -3.33540907,    -2.20363167,    -2.13177740,    -1.44700351
1.35,-5.96058851,    -4.66751755,    -3.43223603,    -2.29307096,    -2.13916508,    -1.52835247
1.4,-6.14033003,    -4.75691407,    -3.52922718,    -2.38341595,    -2.14581123,    -1.61110285
1.45,-6.32147749,    -4.84691617,    -3.62637030,    -2.47456131,    -2.15180899,    -1.69510719
1.5,-6.50389156,    -4.93747511,    -3.72365433,    -2.56641644,    -2.15723788,    -1.78023723
1.55,-6.68745026,    -5.02854705,    -3.82106925,    -2.65890321,    -2.16216604,    -1.86638101
1.6,-6.87204645,    -5.12009248,    -3.91860595,    -2.75195397,    -2.16665197,    -1.95344050
1.65,-7.05758570,    -5.21207569,    -4.01625614,    -2.84551001,    -2.17074613,    -2.04132956
1.7,-7.24398454,    -5.30446441,    -4.11401225,    -2.93952013,    -2.17449213,    -2.12997229
1.75,-7.43116892,    -5.39722934,    -4.21186737,    -3.03393957,    -2.21930155,    -2.17792779
1.8,-7.61907297,    -5.49034388,    -4.30981515,    -3.12872909,    -2.30925782,    -2.18108606
1.85,-7.80763793,    -5.58378381,    -4.40784980,    -3.22385412,    -2.39978813,    -2.18399568
1.9,-7.99681121,    -5.67752706,    -4.50596596,    -3.31928415,    -2.49084525,    -2.18668181
1.95,-8.18654559,    -5.77155344,    -4.60415872,    -3.41499215,    -2.58238688,    -2.18916656
2.0,-8.37679864,    -5.86584451,    -4.70242354,    -3.51095413,    -2.67437509,    -2.19146941
2.05,-8.56753203,    -5.96038334,    -4.80075625,    -3.60714869,    -2.76677578,    -2.19360756
2.1,-8.75871114,    -6.05515440,    -4.89915297,    -3.70355674,    -2.85955817,    -2.19559623
2.15,-8.95030456,    -6.15014340,    -4.99761011,    -3.80016116,    -2.95269445,    -2.19744895
2.2,-9.14228377,    -6.24533720,    -5.09612435,    -3.89694657,    -3.04615942,    -2.19917778
2.25,-9.33462281,    -6.34072366,    -5.19469261,    -3.99389916,    -3.13993020,    -2.20079346
2.3,-9.52729798,    -6.43629157,    -5.29331202,    -4.09100642,    -3.23398597,    -2.20230560
2.35,-9.72028762,    -6.53203056,    -5.39197990,    -4.18825707,    -3.32830773,    -2.20372283
2.4,-9.91357189,    -6.62793103,    -5.49069376,    -4.28564086,    -3.42287813,    -2.20505290
2.45,-10.10713258,    -6.72398408,    -5.58945128,    -4.38314850,    -3.51768130,    -2.20630278
2.5,-10.30095295,    -6.82018143,    -5.68825029,    -4.48077152,    -3.61270266,    -2.20747877
2.55,-10.49501759,    -6.91651539,    -5.78708876,    -4.57850220,    -3.70792883,    -2.20858656
2.6,-10.68931227,    -7.01297881,    -5.88596478,    -4.67633347,    -3.80334749,    -2.20963131
2.65,-10.88382388,    -7.10956500,    -5.98487658,    -4.77425888,    -3.89894729,    -2.21061771
2.7,-11.07854024,    -7.20626775,    -6.08382249,    -4.87227249,    -3.99471774,    -2.21155000
2.75,-11.27345009,    -7.30308123,    -6.18280094,    -4.97036887,    -4.09064916,    -2.21243207
2.8,-11.46854300,    -7.40000000,    -6.28181044,    -5.06854300,    -4.18673255,    -2.21326745
2.85,-11.66380923,    -7.49701898,    -6.38084962,    -5.16679026,    -4.28295961,    -2.21405936
2.9,-11.85923977,    -7.59413338,    -6.47991717,    -5.26510638,    -4.37932260,    -2.21481078
2.95,-12.05482618,    -7.69133874,    -6.57901185,    -5.36348744,    -4.47581434,    -2.21552441
3.0,-12.25056062,    -7.78863085,    -6.67813250,    -5.46192977,    -4.57242812,    -2.21620273
