Lambda,eig1,eig2,eig3,eig4,eig5,eig6
2.3,-4.70744092,    -1.00000000,    1.00000000,    4.70744092,    .00000000,    .00000000
2.35,-4.80520551,    -1.00000000,    1.00000000,    4.80520551,    .00000000,    .00000000
2.4,-4.90306027,    -1.00000000,    1.00000000,    4.90306027,    .00000000,    .00000000
2.45,-5.00099990,    -1.00000000,    1.00000000,    5.00099990,    .00000000,    .00000000
2.5,-5.09901951,    -1.00000000,    1.00000000,    5.09901951,    .00000000,    .00000000
2.55,-5.19711458,    -1.00000000,    1.00000000,    5.19711458,    .00000000,    .00000000
2.6,-5.29528092,    -1.00000000,    1.00000000,    5.29528092,    .00000000,    .00000000
2.65,-5.39351462,    -1.00000000,    1.00000000,    5.39351462,    .00000000,    .00000000
2.7,-5.49181209,    -1.00000000,    1.00000000,    5.49181209,    .00000000,    .00000000
2.75,-5.59016994,    -1.00000000,    1.00000000,    5.59016994,    .00000000,    .00000000
2.8,-5.68858506,    -1.00000000,    1.00000000,    5.68858506,    .00000000,    .00000000
2.85,-5.78705452,    -1.00000000,    1.00000000,    5.78705452,    .00000000,    .00000000
2.9,-5.88557559,    -1.00000000,    1.00000000,    5.88557559,    .00000000,    .00000000
2.95,-5.98414572,    -1.00000000,    1.00000000,    5.98414572,    .00000000,    .00000000
3.0,-6.08276253,    -1.00000000,    1.00000000,    6.08276253,    .00000000,    .00000000
