Lambda,eig1,eig2,eig3,eig4,eig5,eig6
0.0,-1.00000000,    -1.00000000,    1.00000000,    1.00000000,    .00000000,    .00000000
0.05,-1.00498756,    -1.00000000,    1.00000000,    1.00498756,    .00000000,    .00000000
0.1,-1.01980390,    -1.00000000,    1.00000000,    1.01980390,    .00000000,    .00000000
0.15,-1.04403065,    -1.00000000,    1.00000000,    1.04403065,    .00000000,    .00000000
0.2,-1.07703296,    -1.00000000,    1.00000000,    1.07703296,    .00000000,    .00000000
0.25,-1.11803399,    -1.00000000,    1.00000000,    1.11803399,    .00000000,    .00000000
0.3,-1.16619038,    -1.00000000,    1.00000000,    1.16619038,    .00000000,    .00000000
0.35,-1.22065556,    -1.00000000,    1.00000000,    1.22065556,    .00000000,    .00000000
0.4,-1.28062485,    -1.00000000,    1.00000000,    1.28062485,    .00000000,    .00000000
0.45,-1.34536240,    -1.00000000,    1.00000000,    1.34536240,    .00000000,    .00000000
0.5,-1.41421356,    -1.00000000,    1.00000000,    1.41421356,    .00000000,    .00000000
0.55,-1.48660687,    -1.00000000,    1.00000000,    1.48660687,    .00000000,    .00000000
0.6,-1.56204994,    -1.00000000,    1.00000000,    1.56204994,    .00000000,    .00000000
0.65,-1.64012195,    -1.00000000,    1.00000000,    1.64012195,    .00000000,    .00000000
0.7,-1.72046505,    -1.00000000,    1.00000000,    1.72046505,    .00000000,    .00000000
0.75,-1.80277564,    -1.00000000,    1.00000000,    1.80277564,    .00000000,    .00000000
0.8,-1.88679623,    -1.00000000,    1.00000000,    1.88679623,    .00000000,    .00000000
0.85,-1.97230829,    -1.00000000,    1.00000000,    1.97230829,    .00000000,    .00000000
0.9,-2.05912603,    -1.00000000,    1.00000000,    2.05912603,    .00000000,    .00000000
0.95,-2.14709106,    -1.00000000,    1.00000000,    2.14709106,    .00000000,    .00000000
1.0,-2.23606798,    -1.00000000,    1.00000000,    2.23606798,    .00000000,    .00000000
1.05,-2.32594067,    -1.00000000,    1.00000000,    2.32594067,    .00000000,    .00000000
1.1,-2.41660919,    -1.00000000,    1.00000000,    2.41660919,    .00000000,    .00000000
1.15,-2.50798724,    -1.00000000,    1.00000000,    2.50798724,    1033418051266708488532614134547556357374300330970492666113396787752785079196758760700712437199043021482835888415085194104766551353787121296851551861432322054270012144667144158453957690951297110633850945956750941156968280124481043057993370828800.00000000,    97875986433270736347827615637728933040822634280225651566999505136723172261693636107254840220935436577036139369097929647988823130785705555447451770445491701442758371805821216282897407593071106532048896.00000000
1.2,-2.60000000,    -1.00000000,    1.00000000,    2.60000000,    .00000000,    .00000000
1.25,-2.69258240,    -1.00000000,    1.00000000,    2.69258240,    .00000000,    .00000000
1.3,-2.78567766,    -1.00000000,    1.00000000,    2.78567766,    .00000000,    .00000000
1.35,-2.87923601,    -1.00000000,    1.00000000,    2.87923601,    .00000000,    .00000000
1.4,-2.97321375,    -1.00000000,    1.00000000,    2.97321375,    .00000000,    .00000000
1.45,-3.06757233,    -1.00000000,    1.00000000,    3.06757233,    .00000000,    .00000000
1.5,-3.16227766,    -1.00000000,    1.00000000,    3.16227766,    .00000000,    11757537916791332074152680299932298256392054860127988409696786439582947761121891322345381258351530625073104825458605179078181643437198473101671152641807767966058175223057275878895582744519988365296286087558285230080.00000000
1.55,-3.25729949,    -1.00000000,    1.00000000,    3.25729949,    .00000000,    .00000000
1.6,-3.35261092,    -1.00000000,    1.00000000,    3.35261092,    .00000000,    .00000000
1.65,-3.44818793,    -1.00000000,    1.00000000,    3.44818793,    .00000000,    .00000000
1.7,-3.54400903,    -1.00000000,    1.00000000,    3.54400903,    .00000000,    .00000000
1.75,-3.64005494,    -1.00000000,    1.00000000,    3.64005494,    .00000000,    .00000000
1.8,-3.73630834,    -1.00000000,    1.00000000,    3.73630834,    .00000000,    .00000000
1.85,-3.83275358,    -1.00000000,    1.00000000,    3.83275358,    .00000000,    .00000000
1.9,-3.92937654,    -1.00000000,    1.00000000,    3.92937654,    .00000000,    .00000000
1.95,-4.02616443,    -1.00000000,    1.00000000,    4.02616443,    .00000000,    .00000000
2.0,-4.12310563,    -1.00000000,    1.00000000,    4.12310563,    .00000000,    .00000000
2.05,-4.22018957,    -1.00000000,    1.00000000,    4.22018957,    .00000000,    .00000000
2.1,-4.31740663,    -1.00000000,    1.00000000,    4.31740663,    .00000000,    .00000000
2.15,-4.41474801,    -1.00000000,    1.00000000,    4.41474801,    .00000000,    .00000000
2.2,-4.51220567,    -1.00000000,    1.00000000,    4.51220567,    .00000000,    .00000000
2.25,-4.60977223,    -1.00000000,    1.00000000,    4.60977223,    .00000000,    .00000000
