Lambda,eig1,eig2,eig3,eig4,eig5,eig6
1.1,-11.79901778,    -11.31594637,    -10.71233151,    -10.22926010,    -10.08061984,    -9.59754843
1.15,-12.15919319,    -11.59395423,    -11.01058190,    -10.44534294,    -10.37879657,    -9.81355760
1.2,-12.52776194,    -11.87752155,    -11.31229794,    -10.68186523,    -10.66205755,    -10.07213447
1.25,-12.90358707,    -12.16607735,    -11.61717294,    -10.98909201,    -10.87966322,    -10.37514026
1.3,-13.28572228,    -12.45911553,    -11.92493071,    -11.29988489,    -11.09832396,    -10.68253902
1.35,-13.67337748,    -12.75618857,    -12.23532267,    -11.61376395,    -11.31813376,    -10.99371691
1.4,-14.06588962,    -13.05690117,    -12.54812521,    -11.93033702,    -11.53913676,    -11.30816883
1.45,-14.46269884,    -13.36090414,    -12.86313710,    -12.24928068,    -11.76134240,    -11.62547647
1.5,-14.86332939,    -13.66788880,    -13.18017713,    -12.57032554,    -11.98473653,    -11.94529090
1.55,-15.26737440,    -13.97758184,    -13.49908200,    -12.89324509,    -12.26731900,    -12.20928945
1.6,-15.67448381,    -14.28974091,    -13.81970441,    -13.21784710,    -12.59131275,    -12.43496152
1.65,-16.08435470,    -14.60415065,    -14.14191128,    -13.54396700,    -12.91706091,    -12.66170723
1.7,-16.49672351,    -14.92061925,    -14.46558222,    -13.87146282,    -13.24438238,    -12.88947796
1.75,-16.91135977,    -15.23897550,    -14.79060820,    -14.20021115,    -13.57312094,    -13.11822394
1.8,-17.32806098,    -15.55906623,    -15.11689027,    -14.53010406,    -13.90314110,    -13.34789552
1.85,-17.74664846,    -15.88075404,    -15.44433854,    -14.86104652,    -14.23432467,    -13.63077731
1.9,-18.16696388,    -16.20391544,    -15.77287118,    -15.19295446,    -14.56656809,    -13.96125006
1.95,-18.58886640,    -16.52843913,    -16.10241360,    -15.52575310,    -14.89978013,    -14.29284267
2.0,-19.01223030,    -16.85422462,    -16.43289769,    -15.85937561,    -15.23388011,    -14.62545979
2.05,-19.43694298,    -17.18118094,    -16.76426118,    -16.19376206,    -15.56879639,    -14.95901672
2.1,-19.86290325,    -17.50922555,    -17.09644702,    -16.52885847,    -15.90446507,    -15.29343791
2.15,-20.29001993,    -17.83828346,    -17.42940287,    -16.86461604,    -16.24082899,    -15.62865582
2.2,-20.71821061,    -18.16828634,    -17.76308066,    -17.20099055,    -16.57783682,    -15.96460982
2.25,-21.14740061,    -18.49917182,    -18.09743615,    -17.53794178,    -16.91544232,    -16.30124536
2.3,-21.57752210,    -18.83088287,    -18.43242856,    -17.87543304,    -17.25360372,    -16.63851319
2.35,-22.00851330,    -19.16336726,    -18.76802029,    -18.21343080,    -17.59228317,    -16.97636877
2.4,-22.44031783,    -19.49657704,    -19.10417657,    -18.55190433,    -17.93144628,    -17.31477166
2.45,-22.87288414,    -19.83046811,    -19.44086524,    -18.89082540,    -18.27106173,    -17.65368512
2.5,-23.30616496,    -20.16499990,    -19.77805649,    -19.23016803,    -18.61110093,    -17.99307563
2.55,-23.74011689,    -20.50013496,    -20.11572269,    -19.56990826,    -18.95153771,    -18.33291260
2.6,-24.17470003,    -20.83583871,    -20.45383814,    -19.91002395,    -19.29234805,    -18.67316801
2.65,-24.60987756,    -21.17207913,    -20.79237896,    -20.25049461,    -19.63350992,    -19.01381616
2.7,-25.04561553,    -21.50882658,    -21.13132292,    -20.59130123,    -19.97500299,    -19.35483345
2.75,-25.48188251,    -21.84605356,    -21.47064927,    -20.93242616,    -20.31680853,    -19.69619813
2.8,-25.91864943,    -22.18373450,    -21.81033867,    -21.27385300,    -20.65890922,    -20.03789018
2.85,-26.35588930,    -22.52184563,    -22.15037304,    -21.61556645,    -21.00128904,    -20.37989106
2.9,-26.79357706,    -22.86036480,    -22.49073546,    -21.95755227,    -21.34393311,    -20.72218364
2.95,-27.23168939,    -23.19927136,    -22.83141012,    -22.29979713,    -21.68682764,    -21.06475206
3.0,-27.67020458,    -23.53854602,    -23.17238218,    -22.64228858,    -22.02995979,    -21.40758158
