Lambda,eig1,eig2,eig3,eig4,eig5,eig6
0.0,-8.00000000,    -8.00000000,    -6.00000000,    -6.00000000,    -6.00000000,    -6.00000000
0.05,-8.00687627,    -8.00687627,    -6.10046657,    -6.10046657,    -6.08215737,    -6.08215737
0.1,-8.02752037,    -8.02752037,    -6.21384650,    -6.21384650,    -6.17517365,    -6.17517364
0.15,-8.06197854,    -8.06197847,    -6.34001344,    -6.34001336,    -6.27865701,    -6.27865693
0.2,-8.11032931,    -8.11032833,    -6.47882705,    -6.47882607,    -6.39218512,    -6.39218414
0.25,-8.17268675,    -8.17267960,    -6.63012129,    -6.63011413,    -6.51530726,    -6.51530010
0.3,-8.24920773,    -8.24917191,    -6.79369123,    -6.79365540,    -6.64755564,    -6.64751981
0.35,-8.34010627,    -8.33996795,    -6.96928017,    -6.96914184,    -6.78847192,    -6.78833360
0.4,-8.44567873,    -8.44523833,    -7.15656885,    -7.15612845,    -6.93765505,    -6.93721465
0.45,-8.56634261,    -8.56513570,    -7.35516906,    -7.35396215,    -7.09483483,    -7.09362792
0.5,-8.70268777,    -8.69975801,    -7.56462305,    -7.56169329,    -7.25996912,    -7.25703936
0.55,-8.85553000,    -8.84910470,    -7.78440929,    -7.77798399,    -7.43334994,    -7.42692464
0.6,-9.02594024,    -9.01303371,    -8.01395378,    -8.00104724,    -7.61568317,    -7.60277664
0.65,-9.21520114,    -9.19122961,    -8.25264513,    -8.22867360,    -7.80808287,    -7.78411134
0.7,-9.42463249,    -9.38319199,    -8.49985150,    -8.45841100,    -8.01191260,    -7.97047210
0.75,-9.65526622,    -9.58824789,    -8.75493713,    -8.68791880,    -8.22845062,    -8.16143230
0.8,-9.90746195,    -9.80558529,    -9.01727691,    -8.91540025,    -8.45847321,    -8.35659655
0.85,-10.18066216,    -10.03429932,    -9.28626826,    -9.13990542,    -8.70196372,    -8.55560089
0.9,-10.47344136,    -10.27344136,    -9.56133970,    -9.36133970,    -8.95811201,    -8.75811201
0.95,-10.78380697,    -10.52206267,    -9.84195650,    -9.58021220,    -9.22557029,    -8.96382599
1.0,-11.10956559,    -10.77924820,    -10.12762364,    -9.79730625,    -9.50278389,    -9.17246650
1.05,-11.44860041,    -11.04413927,    -10.41788676,    -10.01342562,    -9.78824410,    -9.38378296
