Lambda,time
0.0,0.648265
0.05,0.65842
0.1,0.608428
0.15,0.669723
0.2,0.59815
0.25,0.613741
0.3,0.646545
0.35,0.616784
0.4,0.6127
0.45,0.639496
0.5,0.625286
0.55,0.605983
0.6,0.607285
0.65,0.653507
0.7,0.766366
0.75,0.745259
0.8,0.680094
0.85,0.630602
0.9,0.621991
0.95,0.686751
1.0,0.645585
1.05,0.625288
1.1,0.61015
1.15,0.597292
1.2,0.614034
1.25,0.639197
1.3,0.617111
1.35,0.593737
1.4,0.714652
1.45,0.600387
1.5,0.601031
1.55,0.641184
1.6,0.639262
1.65,0.598798
1.7,0.601827
1.75,0.594659
1.8,0.59627
1.85,0.586309
1.9,0.60646
1.95,0.597738
2.0,0.591302
2.05,0.794341
2.1,0.616852
2.15,0.576041
2.2,0.583899
2.25,0.594257
2.3,0.626376
2.35,0.630428
2.4,0.595644
2.45,0.58678
2.5,0.605518
2.55,0.588895
2.6,0.652584
2.65,0.590933
2.7,0.671434
2.75,0.620554
2.8,0.597333
2.85,0.603902
2.9,0.699067
2.95,0.588877
3.0,0.594499
