Lambda,time
0.0,0.000586
0.05,0.000588
0.1,0.000587
0.15,0.000597
0.2,0.000588
0.25,0.000588
0.3,0.000579
0.35,0.000355
0.4,0.000584
0.45,0.00056
0.5,0.00055
0.55,0.000679
0.6,0.000351
0.65,0.000378
0.7,0.000529
0.75,0.000528
0.8,0.000545
0.85,0.000666
0.9,0.000683
0.95,0.000597
1.0,0.0006
1.05,0.000591
1.1,0.000536
1.15,0.000499
1.2,0.000359
1.25,0.000592
1.3,0.000533
1.35,0.000387
1.4,0.000541
1.45,0.000349
1.5,0.000363
1.55,0.000589
1.6,0.000597
1.65,0.000687
1.7,0.000563
1.75,0.000528
1.8,0.000364
1.85,0.000625
1.9,0.000452
1.95,0.00064
2.0,0.000552
2.05,0.000348
2.1,0.000328
2.15,0.000328
2.2,0.000377
2.25,0.000436
2.3,0.000554
2.35,0.000319
2.4,0.00032
2.45,0.000323
2.5,0.000449
2.55,0.00032
2.6,0.000326
2.65,0.000356
2.7,0.000323
2.75,0.000413
2.8,0.000527
2.85,0.000322
2.9,0.000328
2.95,0.000321
3.0,0.00069
