Lambda,time
0.0,6e-05
0.05,5.9e-05
0.1,6.3e-05
0.15,8.4e-05
0.2,6.7e-05
0.25,7e-05
0.3,6.4e-05
0.35,6.1e-05
0.4,6e-05
0.45,5.9e-05
0.5,5.9e-05
0.55,0.000114
0.6,6.4e-05
0.65,5.7e-05
0.7,4e-05
0.75,7.9e-05
0.8,6.1e-05
0.85,6.1e-05
0.9,6e-05
0.95,7.9e-05
1.0,6.4e-05
1.05,6.3e-05
1.1,6.1e-05
1.15,6.2e-05
1.2,6.9e-05
1.25,6.1e-05
1.3,5.9e-05
1.35,6.1e-05
1.4,6e-05
1.45,6.2e-05
1.5,5.9e-05
1.55,6.4e-05
1.6,6.6e-05
1.65,6e-05
1.7,6e-05
1.75,5.8e-05
1.8,5.8e-05
1.85,5.7e-05
1.9,5.6e-05
1.95,6.6e-05
2.0,6e-05
2.05,6.1e-05
2.1,6e-05
2.15,5.7e-05
2.2,6e-05
2.25,5.9e-05
2.3,6e-05
2.35,6.3e-05
2.4,6.2e-05
2.45,5.8e-05
2.5,6e-05
2.55,5.9e-05
2.6,6e-05
2.65,6.1e-05
2.7,5.7e-05
2.75,5.7e-05
2.8,7e-05
2.85,6e-05
2.9,8.4e-05
2.95,6.4e-05
3.0,7.3e-05
