Lambda,time
0.0,0.024954
0.05,0.031354
0.1,0.030839
0.15,0.033659
0.2,0.029653
0.25,0.030342
0.3,0.026587
0.35,0.03038
0.4,0.029472
0.45,0.02988
0.5,0.029537
0.55,0.030573
0.6,0.035275
0.65,0.034631
0.7,0.034057
0.75,0.035806
0.8,0.034657
0.85,0.037917
0.9,0.036845
0.95,0.034181
1.0,0.041673
1.05,0.035075
1.1,0.034102
1.15,0.035796
1.2,0.033695
1.25,0.038156
1.3,0.040525
1.35,0.030404
1.4,0.031477
1.45,0.034487
1.5,0.028094
1.55,0.038958
1.6,0.029206
1.65,0.031817
1.7,0.040354
1.75,0.038505
1.8,0.041419
1.85,0.038769
1.9,0.036086
1.95,0.034412
2.0,0.037037
2.05,0.034292
2.1,0.033832
2.15,0.037627
2.2,0.037789
2.25,0.034414
2.3,0.036251
2.35,0.027479
2.4,0.030173
2.45,0.034598
2.5,0.038108
2.55,0.033077
2.6,0.029672
2.65,0.032311
2.7,0.034718
2.75,0.033857
2.8,0.034632
2.85,0.033037
2.9,0.034411
2.95,0.031057
3.0,0.029319
