Lambda,time
0.0,3.4e-05
0.05,2.1e-05
0.1,2.9e-05
0.15,2.8e-05
0.2,2.4e-05
0.25,2.6e-05
0.3,2.4e-05
0.35,2.3e-05
0.4,2.6e-05
0.45,2.3e-05
0.5,2.1e-05
0.55,2.7e-05
0.6,2.7e-05
0.65,2.3e-05
0.7,3.3e-05
0.75,2.3e-05
0.8,2.4e-05
0.85,2.3e-05
0.9,3.4e-05
0.95,2.9e-05
1.0,3.3e-05
1.05,2.5e-05
1.1,2.6e-05
1.15,3.3e-05
1.2,3.2e-05
1.25,2.4e-05
1.3,3.3e-05
1.35,4.7e-05
1.4,4.6e-05
1.45,3.2e-05
1.5,3.8e-05
1.55,3.3e-05
1.6,3.7e-05
1.65,3.1e-05
1.7,3.3e-05
1.75,3.4e-05
1.8,3.4e-05
1.85,3.9e-05
1.9,3.1e-05
1.95,3.2e-05
2.0,3e-05
2.05,3.1e-05
2.1,3.4e-05
2.15,3.3e-05
2.2,3.2e-05
2.25,3.4e-05
2.3,3.3e-05
2.35,3.4e-05
2.4,3.2e-05
2.45,3.3e-05
2.5,3.4e-05
2.55,3.3e-05
2.6,3.5e-05
2.65,3.2e-05
2.7,3.3e-05
2.75,3.2e-05
2.8,3e-05
2.85,3.5e-05
2.9,3.1e-05
2.95,3.3e-05
3.0,3.3e-05
