Lambda,time
0.0,2.967157
0.05,2.716838
0.1,2.515329
0.15,2.574892
0.2,2.648861
0.25,2.532667
0.3,2.469526
0.35,2.512898
0.4,3.135342
0.45,2.939479
0.5,2.80525
0.55,2.827627
0.6,3.310937
0.65,2.870643
0.7,3.252593
0.75,3.208461
0.8,2.740264
0.85,2.810785
0.9,2.692979
0.95,2.714125
1.0,2.784087
1.05,2.70222
1.1,2.974219
1.15,2.877035
1.2,2.701584
1.25,2.738942
1.3,2.753973
1.35,2.756263
1.4,2.741688
1.45,2.976641
1.5,3.181518
1.55,2.833871
1.6,3.033281
1.65,2.819461
1.7,2.901889
1.75,2.915142
1.8,2.702507
1.85,2.712359
1.9,2.760713
1.95,2.736379
2.0,2.72792
2.05,2.7992
2.1,2.724461
2.15,2.732678
2.2,2.874929
2.25,2.795659
2.3,2.783911
2.35,2.807509
2.4,2.760302
2.45,2.803814
2.5,2.821233
2.55,2.722578
2.6,2.763075
2.65,2.878636
2.7,2.713482
2.75,2.72228
2.8,2.816166
2.85,2.776252
2.9,2.730045
2.95,2.905731
3.0,2.739448
