Lambda,time
0.0,0.001453
0.05,0.001825
0.1,0.001453
0.15,0.001835
0.2,0.002676
0.25,0.00251
0.3,0.002353
0.35,0.001757
0.4,0.001357
0.45,0.001547
0.5,0.001762
0.55,0.002104
0.6,0.001925
0.65,0.001773
0.7,0.001594
0.75,0.001371
0.8,0.001608
0.85,0.002395
0.9,0.001444
0.95,0.001417
1.0,0.001793
1.05,0.001871
1.1,0.001279
1.15,0.001297
1.2,0.001319
1.25,0.001619
1.3,0.001788
1.35,0.002209
1.4,0.001867
1.45,0.001456
1.5,0.00159
1.55,0.001395
1.6,0.001838
1.65,0.002557
1.7,0.001733
1.75,0.001441
1.8,0.001593
1.85,0.001901
1.9,0.001374
1.95,0.001366
2.0,0.001905
2.05,0.001717
2.1,0.001465
2.15,0.00146
2.2,0.001598
2.25,0.002357
2.3,0.002272
2.35,0.002258
2.4,0.002312
2.45,0.001572
2.5,0.00177
2.55,0.001869
2.6,0.001542
2.65,0.001393
2.7,0.001882
2.75,0.001569
2.8,0.001332
2.85,0.00132
2.9,0.001894
2.95,0.001828
3.0,0.001929
