Lambda,time
0.0,0.007624
0.05,0.008482
0.1,0.006642
0.15,0.007172
0.2,0.007399
0.25,0.005821
0.3,0.005648
0.35,0.008278
0.4,0.005617
0.45,0.0065
0.5,0.006562
0.55,0.005775
0.6,0.006933
0.65,0.006868
0.7,0.006252
0.75,0.006967
0.8,0.007978
0.85,0.009852
0.9,0.008024
0.95,0.007414
1.0,0.008225
1.05,0.007616
1.1,0.006242
1.15,0.008012
1.2,0.007643
1.25,0.008134
1.3,0.007214
1.35,0.007923
1.4,0.006904
1.45,0.006747
1.5,0.006616
1.55,0.005517
1.6,0.00755
1.65,0.007188
1.7,0.007299
1.75,0.007612
1.8,0.007538
1.85,0.00792
1.9,0.007206
1.95,0.007671
2.0,0.009177
2.05,0.009582
2.1,0.007148
2.15,0.007762
2.2,0.005963
2.25,0.00658
2.3,0.007055
2.35,0.010373
2.4,0.00572
2.45,0.007222
2.5,0.009801
2.55,0.008119
2.6,0.00605
2.65,0.005804
2.7,0.005976
2.75,0.005861
2.8,0.00578
2.85,0.005629
2.9,0.006817
2.95,0.006472
3.0,0.005805
