# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
1.50000000        	2        	-3.16227766         -1.00000000         1.00000000         3.16227766         .00000000         11757537916791332074152680299932298256392054860127988409696786439582947761121891322345381258351530625073104825458605179078181643437198473101671152641807767966058175223057275878895582744519988365296286087558285230080.00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
1.55000000        	2        	-3.25729949         -1.00000000         1.00000000         3.25729949         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
1.60000000        	2        	-3.35261092         -1.00000000         1.00000000         3.35261092         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
1.65000000        	2        	-3.44818793         -1.00000000         1.00000000         3.44818793         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
1.70000000        	2        	-3.54400903         -1.00000000         1.00000000         3.54400903         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
1.75000000        	2        	-3.64005494         -1.00000000         1.00000000         3.64005494         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
1.80000000        	2        	-3.73630834         -1.00000000         1.00000000         3.73630834         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
1.85000000        	2        	-3.83275358         -1.00000000         1.00000000         3.83275358         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
1.90000000        	2        	-3.92937654         -1.00000000         1.00000000         3.92937654         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
1.95000000        	2        	-4.02616443         -1.00000000         1.00000000         4.02616443         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.00000000        	2        	-4.12310563         -1.00000000         1.00000000         4.12310563         .00000000         .00000000
